name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Justice League  Hero Dice \u2013 Green Lantern,2016,1,4,6.577,Andreas Schmidt,Heidelberger Spieleverlag
Fresh Fish,1997,2,5,6.67,Friedemann Friese,2F-Spiele
VeloCity,2010,3,7,5.763,Kevin G. Nunn,ABACUSSPIELE
Gran Circo,2012,3,5,7.395,Marcos Macri,MS Jogos
Brikks,2018,1,4,6.529,Wolfgang Warsch,Schmidt Spiele
Aristocracy,2019,2,4,6.578,Reiner Knizia,Tasty Minstrel Games
Nations in Arms  Valmy to Waterloo,2012,2,7,7.156,Fran\\u00e7ois-Stanislas Thomas,Compass Games
Grav-Ball,1982,2,4,5.788,L. Ross Babcock,FASA
Viking Fury,2004,2,5,7.011,Steve Kendall,Ragnar Brothers
DungeonQuest,1985,1,4,6.706,Jakob Bonds,Alga
Axis & Allies  Europe,1999,2,4,6.519,Larry Harris,Avalon Hill Games
Saipan  Conquest of the Marianas,2010,1,2,6.106,Eric R. Harvey,Decision Games (I)
Denkste!,1998,2,4,4.653,Gerhard Wieser,F.X. Schmid
Dragons of Kir,2005,2,2,6.621,Dove Byrne,Future Magic Games
Supremacy  Mega Map,1991,4,8,6.851,Robert J. Simpson,Supremacy Games
Wild  Rummy Edition,2001,0,0,4.875,(Uncredited),Cadaco
Wizard,1978,2,2,7.353,Steve Jackson (I),Hobby Japan
Tribune  Primus Inter Pares,2007,2,5,7.235,Karl-Heinz Schmiel,Edge Entertainment
Sherpa,2007,2,5,4.516,Marc Beaudoin,Magma u00c9ditions
Blucher,2015,2,4,7.945,Sam A. Mustafa,Sam Mustafa Publishing LLC
Battles of Napoleon  The Eagle and the Lion,2010,2,2,7.344,Ugo Di Meglio,Fantasy Flight Games
Principato,2011,2,4,6.201,Touko Tahkokallio,eggertspiele
The Hobbit Card Game,2012,2,5,5.226,Martin Wallace,999 Games
Sauron,1977,2,2,5.706,Rob Mosca,SPI (Simulations Publications
Vas\u00fatvonal  S\u00f6t\u00e9tk\u00e9k Kiad\u00e1s,2018,1,6,7.318,Hjalmar Hach,Horrible Guild
Timeline Challenge,2015,2,10,7.067,Cyril Demaegd,Asmodee
Axis & Allies Air Force Miniatures  Angels 20,2012,2,6,7.207,Richard Baker,Avalon Hill Games
Desert Bazaar,2006,3,5,5.731,Brian Yu,Mattel
Hida-furukawa,2017,2,5,6.25,Hims Chu,Capstone HK Ltd.
How to Host a Murder  A Matter of Faxe,1986,8,8,7.071,Robert R. Johnson,Decipher
Pickpocket,2008,2,6,5.924,Reiner Knizia,Repos Production
\uc5d0\ucf54 \ub9c1\ud06c,2018,2,4,6.677,G\\u00fcnter Burkhardt,Broadway Toys LTD
Wavre,1976,1,2,6.452,J. A. Nelson,SPI (Simulations Publications
Space Base Mutiny,2016,2,2,5.433,Colin Thom,(Self-Published)
\u9ed1\u5e6b\u8001\u5927,2010,2,4,6.837,Alain Ollier,Blackrock Games
Ziff Zoff,1996,2,2,4.69,Jacques Zeimet,Drei Magier Spiele
Divine Right  Scarlet Empire,1997,2,6,4.0,Glenn Rahman,Excalibre Games
Das Wasser des Lebens,1997,3,4,7.585,Klaus Teuber,KOSMOS
Lunar Command,2009,2,2,5.583,Cephas Howard,LEGO
City of Iron,2013,2,4,7.225,Ryan Laukat,Red Raven Games
Kharkov,1978,1,2,6.634,Stephen B. Patrick,SPI (Simulations Publications
Wobble King,2018,2,4,5.7,Heinz Meister,HABA
Edelweiss,1989,2,2,7.388,John Schettler,Clash of Arms Games
\u5f9e\u524d\u5f9e\u524d...,1993,2,6,6.431,Richard Lambert,AMIGO
Sierra West,2019,1,4,7.038,Jonny Pac Cantin,Board&Dice
Colossal Cave  The Board Game,2013,3,6,5.022,Arthur O\Dwyer,(Self-Published)
The Ancient World,2014,2,4,7.084,Ryan Laukat,Red Raven Games
Steam Time,2015,2,4,7.157,R\\u00fcdiger Dorn,KOSMOS
Beasty Bar  New Beasts in Town,2015,2,4,7.09,Stefan Klo\\u00df,REXhry
The Franco-Prussian War,1972,2,2,5.84,Jim Dunnigan,SPI (Simulations Publications
Sport of Kings,1945,2,5,5.989,Jan Jang\\u00f6,Alga
Bushido Breaker,2017,2,4,6.819,Zach White,ZachandWhite
I'm the Boss!,1994,3,6,6.803,Sid Sackson,Eagle-Gryphon Games
Quadrago,2007,2,2,6.469,(Uncredited),Mindtwister AB
SOS  Sheep in Trouble,2014,2,4,5.942,Inka Brand,HABA
Branches and Twigs and Thorns,2002,2,6,6.215,Andrew Plotkin,(Web published)
Warangel Card Game,2001,2,10,6.057,Angelo Porazzi,Angelo Porazzi Games
Nizam,2012,1,5,6.264,Oleksandr Nevskiy,IGAMES
Get Nifty,2005,2,6,4.774,Rob Balder,Blood & Cardstock Games
Polarity,2006,2,2,5.729,Daniel Solis,Luchacabra
Cauldron Master,2017,2,4,6.581,Caezar Al-Jassar,Alley Cat Games
Monopoly  Euro,2000,2,8,5.1,(Uncredited),Editrice Giochi
Punch!,2005,2,2,6.242,Alkis Moraitis,(Web published)
Chicago Stock Exchange,2013,2,4,6.005,Pak Cormier,1-2-3-Games u00c9ditions
King's Valley,2006,2,2,6.585,Mitsuo Yamamoto,Logy Games
Raid on Taihoku,2017,2,4,6.747,Teng Chieh-Ming,Mizo Games
Freya's Folly,2005,3,5,6.583,Don Bone,Sagacity Games
Monsters & Maidens,2014,2,6,5.373,Fred MacKenzie,Clever Mojo Games
Geek Out! Pop Culture Party,2014,2,99,6.27,Dan Rowen,Playroom Entertainment
Way Up High,2016,2,5,5.247,David Short,Crash Games
Pola Naftowe,2007,3,5,3.986,Piotr Stankiewicz,Imperium
Monopoly  Despicable Me 2,2013,2,4,4.235,Monopoly,Hasbro
Space Beans,1999,2,6,6.08,Uwe Rosenberg,AMIGO
Highlander  The Card Game (2nd Edition),1996,2,2,6.172,Mike Sager,La Montagnard Inc.
Pirate 21,2017,2,6,6.343,Jeremy Commandeur,Asmodee
America in Flames,1998,2,6,6.538,Harry Rowland,Australian Design Group
The 7th Dwarf,2014,1,7,5.216,Peter Neugebauer,Jolly Thinkers
Srebrna flota,1994,2,8,5.532,Piotr Rynio,Novina
Sturgeon,2010,2,5,4.418,Russell Brown,Minion Games
Duell,1975,2,2,5.822,Geoffrey Hayes,Alga
Medieval Conspiracy,2015,2,6,6.397,Dietrich Potthoff,GMT Games
Reavers of Midgard,2019,2,4,7.709,J.B. Howell,Grey Fox Games
Blue & Gray,1975,2,2,6.582,Kip Allen,Decision Games (I)
Kuni Tori!,2010,2,6,6.908,Ginichiro Suzuki,Arclight
UNDO  Cherry Blossom Festival,2019,2,6,6.186,Michael Palm,Pegasus Spiele
Ciudad de Cart\u00f3n,2017,2,5,8.986,Juan Pablo Alzate-Granados,Yombembo Games
Dr\u00f4les de Z\u00e8bres,2004,2,2,6.405,Bruno Cathala,Asmodee
Raceway 57,2005,2,5,5.66,Steve Edmiston,Front Porch Classics
Monstermania,2010,2,5,5.688,Brad Ross,Piatnik
RisiKo! Challenge,2010,3,5,6.283,Spartaco Albertarelli,Editrice Giochi
Talk Show,1994,3,6,5.582,(Uncredited),Entertaining Games
Bureaucracy,1981,2,8,4.061,Bruce Spitz,The Avalon Hill Game Co
Authentic Demolition Derby,1999,2,4,5.417,(Uncredited),Raccoon GameWorks
Indiana Jones DVD Adventure Game,2008,2,4,5.032,Simon Russell,Hasbro
Air & Armor,1986,2,2,7.696,Bruce S. Maxwell,West End Games
Majesty  For the Realm,2017,2,4,7.036,Marc Andr\\u00e9,Hans im Glu00fcck
Salvation Road,2016,1,8,6.895,Peter Gousis,Van Ryder Games
Hako Onna,2016,3,5,6.528,\\u6c5f\\u795e \\u53f7 (Go Ejin),Ejin u7814u7a76u6240 (Ejin Kenkyuujyo)
Drop It,2018,2,4,6.972,Bernhard Lach,KOSMOS
Dragon Rampant  Fantasy Wargaming Rules,2015,2,0,8.088,Daniel Mersey,Osprey Publishing
Pico 2,1997,2,2,5.913,Doris Matth\\u00e4us,Doris & Frank
Deal Me In,1988,2,4,6.25,R. Evans,Noraut
A Bridge Too Far  Arnhem,1976,2,2,7.211,J. A. Nelson,SPI (Simulations Publications
Arrakhar's Wand,1983,2,2,5.0,C. C. Stoll,TSR
Crossed Wires,1993,2,4,5.063,Tom Schoeps,Berliner Spielkarten
Spy Detector,1960,2,4,5.827,(Uncredited),Mattel
Larceny,2013,3,10,6.0,Children\s Games,Waning Gibbous Games
Bottlecap Vikings,2015,2,4,5.25,Andy Van Zandt,Tasty Minstrel Games
Curios,2019,2,5,6.665,(Uncredited),Alderac Entertainment Group
Tekeli-li,2005,3,6,5.905,Toshiki Sato,Grimpeur
Star Trek Deck Building Game  The Original Series,2012,2,4,6.716,Alex Bykov,Bandai
Contrast,2017,2,6,6.222,Julien Percot,hobbity.eu
Cathedral,1978,2,2,6.509,Robert P. Moore,Brightway Products Ltd
Escape from 100 Million B.C.,2017,1,6,6.976,Kevin Wilson,IDW Games
Blood Bowl (2016 edition),2016,2,2,8.114,James M. Hewitt,Games Workshop Ltd.
Bacchus' Banquet,2008,3,5,5.995,Fr\\u00e9deric Moyersoen,Mayfair Games
Cry Havoc,2016,2,4,7.271,Grant Rodiek,Portal Games
Eldritch Horror,2013,1,8,7.836,Corey Konieczka,Fantasy Flight Games
Star Fleet Battles  Volume I,1983,2,2,7.577,Stephen V. Cole,Task Force Games
Alley Thieves,2014,2,4,5.871,Mandy Tong,Miss Merc007 Games
Espa\u00f1a 1936,2007,2,2,7.254,Antonio Catal\\u00e1n,Devir Games
Vino,1999,3,5,6.454,Christwart Conrad,Goldsieber Spiele
Super Munchkin  Guest Artist Edition,2005,3,6,5.874,Steve Jackson (I),(Unknown)
Safe Breaker,2014,3,6,6.042,Dave Cousins,HCM Kinzel
Hordes,2006,2,8,7.553,Mike McVey,Edge Entertainment
Town of Salem  The Card Game,2017,4,36,6.338,Josh Brittain,BlankMediaGames LLC
Wilk,2012,2,4,6.182,Val\\u00e9ry Fourcade,Egmont Polska
[_BL\u00c4NK],2012,4,15,6.564,Children\s Games,(Self-Published)
Tanto Cuore  Winter Romance,2018,2,4,7.91,Thematic Games,Japanime Games
Starship Troopers Miniatures Game,2005,2,2,6.83,Andy Chambers,Mongoose Publishing
XYbrid,2017,2,4,6.737,Gabe Shultz,(Self-Published)
7 pecados,2017,2,6,6.14,Hugo Jim\\u00e9nez,Venatus Ediciones
SNCF,2010,3,6,6.745,John Bohrer,Competo / Marektoy
Backpacks and Blisters,1993,1,6,6.166,Gary Dicken,Ragnar Brothers
Battles of the Bulge  Celles,2012,2,2,7.885,Roger Miller,Banana Games
Wrath of Dragons,2015,2,6,7.029,Keith Rentz,Catalyst Game Labs
Pleasant Dreams,2015,1,2,6.027,Aerjen Tamminga,Aerjen Games
Conquest of Planet Earth  The Space Alien Game,2010,1,4,6.907,Jason C. Hill,Flying Frog Productions
4 Gods,2016,2,4,6.084,Christophe Boelinger,Asmodee
TriBond Card Game,2000,2,10,5.012,(Uncredited),Patch Products
Asteroid Pirates,1981,2,4,5.196,Michael S. Matheny,Yaquinto
Heimlich & Co.,1984,2,7,6.441,Wolfgang Kramer,Edition Perlhuhn (Gu00f6ttinger Spiele)
7 Wonders Duel,2015,2,2,8.108,Antoine Bauza,Repos Production
Maul of America  Raid on the Mall,2000,2,6,4.75,Kris Vezner,Chaturanga Concepts
Dale of Merchants Collection,2019,2,4,8.04,Sami Laakso,Schwerkraft-Verlag
Leningrad  The Advance of Army Group North Summer 1941,1979,2,2,6.629,Dick Rustin,Decision Games (I)
Bataan!,2010,1,2,7.724,Mark Guttag,Compass Games
RoboRally  Radioactive,1998,2,8,7.562,Richard Garfield,Wizards of the Coast
Nuclear Escalation,1983,2,6,6.587,Douglas Malewicki,Flying Buffalo
The Great War 1914-1918,1976,2,7,6.598,Albert A. Nofi,One Small Step
Tempest of the Gods,1995,2,4,4.831,Colin Murcray,Black Dragon Press
Alchemy!,2014,2,8,5.669,Mike Kanarek,Aviary Games
Situation 7,1969,2,4,6.025,Marvin Glass,Parker Brothers
Pax Renaissance,2016,2,4,8.038,Phil Eklund,Sierra Madre Games
Women vs. Men Alias,2016,4,0,5.824,(Uncredited),Tactic
De Bellis Renationis,1997,1,2,6.681,Philip C. Barker,Wargames Research Group
Koalition,1992,4,10,6.433,Hartmut Witt,Hexagames (I)
rioMino,1997,2,2,5.836,Kris Burm,Peri Spiele
Dungeon Run,2011,1,6,6.265,Mr. Bistro,Plaid Hat Games
18MEX,2005,3,5,7.823,Mark Derrick,All-Aboard Games
Deep Blue,2019,2,5,6.78,Asger Harding Granerud,Days of Wonder
Excuses,1981,2,6,4.6,Willis P. Carpenter,Waddingtons Games
Sid Meier's Civilization  A New Dawn,2017,2,4,7.338,James Kniffen,Fantasy Flight Games
Birth of a Nation,1982,2,2,5.718,Richard H. Berg,3W (World Wide Wargames)
404  Law Not Found,2013,2,6,5.942,Gregory Carslaw,(Web published)
Suspense,1976,2,4,5.016,(Uncredited),Arxon
Get Reelz,2017,3,8,5.795,Robert Burke,8th Summit
Man-Eater!,1976,2,5,6.249,Richard Macrory,Footloose Productions Ltd
Joakim von Ankas fantastiska aff\u00e4rer,1989,2,5,5.816,Dan Glimne,Alga
Packen Wir's!,1992,2,5,6.074,Karl-Heinz Schmiel,Moskito Spiele
Showdown Poker,1971,2,2,6.075,(Uncredited),E.S. Lowe
Saba  Palast der K\u00f6nigin,2007,2,4,5.553,Christian Fiore,Goldsieber Spiele
Flamme Rouge,2016,2,4,7.573,Asger Harding Granerud,Lautapelit.fi
London,2010,2,4,7.375,Martin Wallace,Treefrog Games
Alexander the Great,2005,2,5,6.054,Ronald Hofst\\u00e4tter,Mayfair Games
21 Mutinies  Arrr! Edition,2013,3,5,6.632,Perepau Llistosella,Asylum Games (Board Games)
Hang in There!,2000,2,4,5.986,(Uncredited),Goliath B.V. (Board Game)
NogginNosh,1995,2,4,3.889,(Uncredited),Endgame Entertainment
Nightlight,2014,1,4,6.231,Brandon Higley,BNKB Games
The Plot to Assassinate Hitler,1976,2,2,5.681,Jim Dunnigan,Hobby Japan
Topple,1979,2,2,5.407,(Uncredited),Kenner
Momo,1987,2,8,6.583,Stefanie Rohner,Herder Spiele
Executive Decision,1971,2,6,6.044,Sid Sackson,3M
Battle for Sularia,2016,2,2,7.186,Jesse Bergman,Punch-It Entertainment LLC
Siberia  The Card Game,2012,2,4,6.764,Reiner Stockhausen,Coffee Haus Games
Shardhunters,2019,1,4,7.813,Bal\\u00e1zs Bodn\\u00e1r,Lycan Studio
Down in Flames  Locked-On,2018,1,6,7.908,Dan Verssen,Dan Verssen Games (DVG)
Fatal Frame  The Card Game,2005,2,4,6.876,Joe Fourhman,Joe Fourhman
Master Merchant,2011,3,4,6.112,Seiji Kanai,Hobby World
1812  The Cradle of Steam Railways,2011,2,4,7.15,Ian D. Wilson,Deep Thought Games
Robber Knights,2005,2,4,6.156,R\\u00fcdiger Dorn,Queen Games
Race to the New Found Land,2018,2,4,6.891,Martin Kallenborn,Hans im Glu00fcck
Empire Express,2012,2,4,6.717,Larry Roznai,Mayfair Games
Dwarven Smithy,2018,2,4,7.55,Mike Warth,Flatworks Gaming
Caf\u00e9 International  Das Kartenspiel,2001,2,5,5.72,Rudi Hoffmann,AMIGO
Quirky Circuits,2019,2,4,7.351,Nikki Valens,Plaid Hat Games
Superfection,1975,2,6,4.969,(Uncredited),Action Games and Toys Ltd
BANG! The Duel,2015,2,2,6.454,Emiliano Sciarra,dV Giochi
Lu Zhan Jun Qi,0,2,2,6.015,(Uncredited),(Public Domain)
La Boca,2013,3,6,7.001,Inka Brand,Asterion Press
Cards vs Dice  Strategically Lucky,2013,2,4,5.82,Jos\\u00e9 A. Pel\\u00e1ez,(Unknown)
CITY Alarm,2012,2,4,5.877,Nicolas Assenbrunner,LEGO
Guillotine,1987,2,4,6.43,Philippe Hernandez,Avril & Floru00e9al
Qwirkle Cubes,2009,2,4,6.589,Susan McKinley Ross,IELLO
Horizon Wars  Science-Fiction Combined-Arms Wargaming,2016,2,2,8.113,Robey Jenkins,Osprey Publishing
Punto y Raya,1988,2,2,4.0,(Uncredited),CEFA (Celulosa Fabril S. A.)
Tuppi,1900,4,4,7.188,(Uncredited),(Public Domain)
Tanz der Hornochsen!,2004,2,8,6.536,Wolfgang Kramer,AMIGO
Sunrise City,2012,2,4,6.655,Isaias Vallejo,Clever Mojo Games
Hannibal's War,2008,2,4,6.214,Joseph Miranda,Decision Games (I)
Love Battle! High School,2019,2,4,7.483,Brett Finnell,Japanime Games
PanzerArmee Afrika,1973,2,2,6.244,Jim Dunnigan,The Avalon Hill Game Co
Gazd\u00e1lkodj Okosan!,1960,2,7,4.853,(Uncredited),(Unknown)
Blood & Roses,2014,2,2,7.559,Richard H. Berg,GMT Games
Micro Mutants  Evolution,2007,2,4,6.625,Marco Maggi,Fantasy Flight Games
Kung Fur Fight!,2018,2,2,8.113,Po-Jen Hsieh,Enjoy Thinking Studio
Jumbo Grand Prix,1998,2,5,5.851,Reiner Knizia,Jumbo
Goblins vs Zombies,2013,1,3,6.431,Jack Darwid,Jack Darwid Games
Redvers' Reverse  The Battle of Colenso,2016,1,1,7.513,Godfrey Bailey,Legion Wargames LLC
Hot Property!,1985,2,6,5.2,(Uncredited),Chieftain Products
Loser,2018,3,6,6.197,Bruno Cathala,Lifestyle Boardgames Ltd
S-Evolution,2013,2,4,5.388,Jean-Michel Maman,Spiel-ou-Face
Eragra  The Game of Eras and the First Step,2011,2,4,5.445,Michael Andresakis,MAGE Company
Wanna Bet?,2012,3,6,5.458,First edition,Tactic
Railway Rivals,1984,2,6,6.713,David G. Watts,Fairmount Gaming Simulations Co.
Diavolo,2012,2,6,6.008,Corentin Lebrat,Asmodee
Tannh\u00e4user,2007,2,10,6.477,William Grosselin,Edge Entertainment
Grunt,1971,1,2,6.196,John Kramer (I),SPI (Simulations Publications
Ogre  Objective 218,2016,2,2,6.731,Darwin Kastle,Steve Jackson Games
Scoop!,1953,2,4,5.681,(Uncredited),Editrice Giochi
Deadwood 1876,2018,2,9,6.716,Travis Hancock,Facade Games
Legions of Steel,1992,2,5,7.077,Clark Browning,(Self-Published)
TieBreaker,2011,2,99,5.852,Ted Alspach,Bu00e9zier Games
Ascension  Delirium,2018,1,4,7.969,Justin Gary,Stone Blade Entertainment
Ra  The Dice Game,2009,2,4,6.771,Reiner Knizia,Rio Grande Games
Qwixx Deluxe,2016,2,8,7.156,Steffen Benndorf,Gamewright
Globalization,2010,2,6,5.619,Brian Knudson,Closet Nerd Games
Project Pornstar,2004,2,5,5.38,Michael Greiss,Papergames (I)
Jungle King,0,2,2,5.904,(Uncredited),(Public Domain)
Inception  Solo card game,2012,1,1,7.278,Lines J. Hutter,(Self-Published)
Silver Bullet,2019,2,4,7.461,Ted Alspach,Bu00e9zier Games
The Gnomes of Zavandor,2011,2,4,6.55,Torsten Landsvogt,Lookout Games
Imperial Starfire,1993,2,2,6.582,David M. Weber,Task Force Games
Trump  The Game,1989,3,4,4.457,Jeffrey Breslow,Milton Bradley
Space Hulk (fourth edition),2014,2,2,7.986,Abstract Games,Games Workshop Ltd.
VivaJava  The Coffee Game  The Dice Game,2014,1,4,6.699,T. C. Petty,Dice Hate Me Studio
Fuldrigger,1985,2,4,5.579,Jens Erik Bj\\u00f8rn Hansen,danspil
WordSpot,2006,2,2,6.108,Russell Ginns,Front Porch Classics
Camel Up (Second Edition),2018,3,8,7.755,Steffen Bogen,Ediciones MasQueOca
Top Gun,1986,2,6,5.599,L. Ross Babcock,FASA
Judge Dredd  Helter Skelter,2019,2,4,7.663,Martin Wallace,Osprey Games
Demon Worker,2016,3,4,7.102,Shogo Kuroda,cosaic
Pack of Flies,2003,2,5,4.964,Philippe des Palli\\u00e8res,999 Games
Mysteries by Vincent  A Perfectly Perilous Pageant,2002,10,10,0.0,Cindy Vincent,Mysteries by Vincent
Like Lions They Fought,1994,2,2,6.416,Dennis Bishop,XTR Corp
Flick of Faith,2019,2,4,7.741,Pawe\\u0142 Stobiecki,Awaken Realms Lite
D6 Shooter,2016,2,4,6.701,Robb De Nicola,Epic Scale Games
Tegn og g\u00e6t,0,4,12,5.445,(Uncredited),danspil
Cinco,2010,2,6,5.926,(Uncredited),franjos Spieleverlag
Ranking,2010,3,5,5.59,Stefan Dorra,Hans im Glu00fcck
Supremacy  Resource Deck Two,1987,2,6,6.536,Robert J. Simpson,Supremacy Games
Thunderbirds,2015,1,4,7.591,Matt Leacock,ASYNCRON games
Sherlock Holmes Consulting Detective  Adventures by Gaslight,1986,1,6,7.161,Jacques Thiriat,Descartes Editeur
Contigo,1974,2,4,5.667,Frank Thibault,3M
Star Wars Galactic Heroes Game,2008,2,2,4.152,(Uncredited),Milton Bradley
Cosmic Run,2015,1,4,7.16,Steve Finn,Dr. Finns Games
Machiavelli,1940,2,6,5.938,Wargames,(Public Domain)
Combots,1983,2,2,5.481,Bill Fawcett,FASA
Dodge City,1983,2,5,5.597,Bernd Brunnhofer,Hans im Glu00fcck
Consensus,2008,3,8,6.341,Marshall Chrein,Mindlogic
Ultimate Mastermind,1972,2,2,5.913,Mordecai Meirowitz,Capiu00e9pa - Jeux u00c9ducatifs
Mech Command RTS,2018,2,6,7.232,Chris Gabrielson,Bad Crow Games
Sword & Sorcery  Immortal Souls,2017,1,5,8.079,Simone Romano,Ares Games
Porto Carthago,2010,3,5,6.412,Bernd Eisenstein,Irongames
Angkor,2005,2,4,5.948,Knut Happel,Schmidt Spiele
Holdfast  Atlantic 1939-45,2016,1,2,7.216,Grant Wylie,Worthington Publishing
Ringo Flamingo,2009,2,4,6.178,Yakov Kaufman,Gamewright
A Fistful of Dinero,2015,3,6,6.095,Charlie Theel,Magic House Games
Atlas & Zeus,2004,2,2,6.361,Bruno Cathala,Descartes Editeur
Objective  Kiev,2010,2,2,6.766,Frank Chadwick,GMT Games
Samarkand,1980,2,5,6.481,Sid Sackson,ABACUSSPIELE
Carcassonne  The Expansion,2002,2,6,7.616,Klaus-J\\u00fcrgen Wrede,Hans im Glu00fcck
Nine Navies War,2007,2,2,6.52,Ty Bomba,Decision Games (I)
The Wizard of Oz,1981,2,6,5.734,Michel Matschoss,AS Company
CrossFire  Rules & Organizations for Company Level WW2 Gaming,1996,2,6,7.641,Arty Conliffe,Quantum Printing
Gambler,1975,2,4,5.577,Paul J. Gruen,Parker Brothers
The Draugr,2014,1,1,6.448,Todd Sanders,(Web published)
Firefly  Fistful of Credits,2015,2,4,5.289,David J. Coffey,Toy Vault
Red Star\/White Eagle  The Russo-Polish War,1979,2,2,7.605,David Williams (I),Game Designers Workshop
SS Panzer  Bloodbath at Kursk,1996,1,2,5.62,John Desch,Kokusai-Tsushin Co.
Noah,2012,2,5,6.507,Bruno Cathala,Bombyx
Ajo y Agua,2013,4,6,6.012,Ana Bel\\u00e9n Dom\\u00ednguez,darbel
Tsukuyumi  Full Moon Down,2018,3,5,8.316,Felix Mertikat,King Racoon Games
Bukiet,2018,1,5,6.815,Wouter van Strien,Nasza Ksiu0119garnia
The Cat,2018,2,4,5.938,Brad Ross,AMIGO
Wizard's Brew,2013,3,6,5.793,Alan R. Moon,Eagle-Gryphon Games
It Never Snows,2012,1,6,7.476,Dean Essig,The Gamers
Katamino Family,2013,1,2,6.13,Andr\\u00e9 Perriolat,DJ Games
Cluedo  Game of Thrones,2016,2,6,6.355,Children\s Games,Hasbro
Attakube,2001,2,2,6.515,Val\\u00e9ry Fourcade,Dujardin
Yeti,1977,2,4,5.76,Jeffrey Breslow,MB Spellen
Shiloh  April 1862,2010,2,2,7.036,Tom Dalgliesh,Columbia Games
G\u00e4msh Alpin,2016,4,6,7.055,Daniel Fehr,Zoch Verlag
Queendomino XL,2017,2,4,7.299,Bruno Cathala,Blackrock Games
Ascension  Realms Unraveled,2014,1,4,7.566,Justin Gary,Stone Blade Entertainment
A-B-C OY!,1994,1,5,4.0,Don Green,Dream Green
Scrabble Word Rummy,1987,2,6,5.517,(Uncredited),Selchow & Righter
East & West,1981,2,6,6.218,Marco Donadoni,International Team
D\u00edas de Radio,2014,2,4,7.349,Alejandro Maio Sasso,Bisonte
Sardines,2008,2,4,5.974,Thematic Games,Djeco
Risk  Balance of Power,2008,2,2,5.903,Rob Daviau,Hasbro
De Bellis Antiquitatis,1990,2,6,7.225,Philip C. Barker,Hobby Products GmbH
Heul doch! Mau Mau,2019,3,6,6.76,Leo Colovini,Ravensburger Spieleverlag GmbH
Mag\u00b7Blast (Second Edition),2002,2,8,6.331,Christian T. Petersen,Fantasy Flight Games
Pizza Party,1987,2,4,5.061,(Uncredited),Borras Plana S.A.
Stratego Legends  The Shattered Lands,1999,2,8,5.787,Craig Van Ness,Avalon Hill Games
Scottish Corridor  Lion Rampant,2003,2,2,7.582,Ray Tapio,Critical Hit
S\u0142owny Ninja,2017,1,8,6.538,\\u0141ukasz Wo\\u017aniak,uWookiego
Chobolo,1998,2,4,7.75,Steven Poelzing,Games For the Mind
Bone Wars  The Game of Ruthless Paleontology,2005,2,4,5.849,James L. Cambias,Zygote Games
Head Quarter,1995,2,2,6.14,Michael Sohre,The Really Useful Games Co.
Fighting Sail  Sea Combat in the Age of Canvas and Shot 1775-1815,1981,2,2,6.709,Joseph M. Balkoski,SPI (Simulations Publications
Darkest December  The Battle of the Bulge 1944,2004,2,2,7.567,Kurt Martin,Critical Hit
Power Grid Deluxe  Europe\/North America,2014,2,6,8.032,Friedemann Friese,2F-Spiele
City and Guilds,2004,3,5,6.629,Steve Kingsbury,JKLM Games
Yesss!,2016,2,7,6.965,Romaric Galonnier,Blue Cocker Games
Anomia X,2017,3,6,6.822,Andrew Innes,Anomia Press
Sheep 'n' Sheep,2017,2,4,6.884,Hisashi Hayashi,OKAZU Brand
Ubongo  Das W\u00fcrfelspiel,2013,2,4,5.271,Grzegorz Rejchtman,KOSMOS
Era of Tribes,2019,1,4,8.333,Arne Lorenz,Black Beacon Games
Lucky Captain,2016,2,4,6.017,Hagen Temeryazev,(Self-Published)
Fleet Commander  1 \u2013 Ignition,2014,2,2,7.774,Elwin Charpentier,Capsicum Games
War II,1981,3,6,5.589,Mario Seabra,Grow Jogos e Brinquedos
Dead of Night,2007,1,6,6.941,Simon Spearing,(Web published)
Troll Hunt,2014,2,3,6.07,Veli-Matti Saarinen,Roll D6 Games
Marvel Heroclix  Infinity Challenge \u2013 Premiere Edition,2002,2,5,6.618,Monte Cook,WizKids
Ostindiska Kompaniet,1991,2,5,4.703,Dan Glimne,G&RRR
Tears of a Goddess,2015,1,1,6.615,Emmanuel Manuro,Makaka Editions
Expedition Sumatra,2010,2,4,6.169,Jens Jahnke,Igramoon Spieleverlag
Scallywags,2008,2,6,6.047,Chevee Dodd,(Web published)
The Ungame,1973,2,6,2.804,Rhea Zakich,Au-Vid Incorporated
Synchropipes,2012,1,4,6.336,Reiner Knizia,Ravensburger Spieleverlag GmbH
The Game of Sniglets,1989,3,6,5.295,(Uncredited),The Games Gang
Money! Money! Money!,1957,2,5,5.5,(Uncredited),Whitman
Forbidden Stars,2015,2,4,7.963,Samuel Bailey,Fantasy Flight Games
Hamburgum,2007,2,5,7.058,Mac Gerdts,PD-Verlag
Fog of Love,2017,2,2,7.12,Jacob Jaskov,Hush Hush Projects
Geek Battle  The Game Of Extreme Geekdom,2012,3,8,5.68,Forrest-Pruzan Creative,(Unknown)
The Princess Bride  Storming the Castle,2008,2,4,5.156,Aaron Watson,Playroom Entertainment
\u010cesko,2006,2,6,5.638,Interwar,Albi
Across The Narva  The Soviet Assault on Estonia,2018,2,2,7.861,Stefan Ekstr\\u00f6m,Revolution Games (II)
Escalado,1929,2,6,6.01,Arthur Gueydan,Chad Valley Co Ltd.
