name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Astromagie,2001,2,5,3.475,Martin Arnold,M + A Spiele
Jasper and Zot,2011,1,1,6.081,Nick Hayes,(Web published)
Circus Grandioso,2012,1,4,5.879,Florian Racky,Racky Spiele
Eye To Eye,2004,3,6,6.463,Aaron Weissblum,SimplyFun
Backpacker,2004,2,6,5.647,(Uncredited),Wild Card Games (Board Game)
Sin City,2005,2,6,4.745,Jonathan Moriarity,NECA
Continuo,1982,1,5,5.308,Maureen Hiron,AMIGO
The Cities and Knights of Catan  5-6 Player Expansion,2000,5,6,7.14,Klaus Teuber,999 Games
Carcassonne f\u00fcr 2,2017,2,2,7.155,Klaus-J\\u00fcrgen Wrede,Hans im Glu00fcck
Smartphone Inc.,2018,1,5,7.552,Ivan Lashin,Cosmodrome Games
Q.E.,2019,3,5,7.549,Gavin Birnbaum,BoardGameTables.com
Ocean Limbo,2011,2,5,6.201,Corn\\u00e9 van Moorsel,Cwali
NATO  The Next War in Europe,1983,2,2,6.645,Bruce S. Maxwell,Victory Games (I)
Blend Coffee Lab.,2017,2,4,6.707,Saashi,Saashi & Saashi
Magic  The Gathering \u2013 Duel Decks  Elves vs. Inventors,2018,2,2,7.617,Andrew Brown,Wizards of the Coast
Evil Baby Orphanage,2012,3,6,5.33,Justin Gibbs,Wyrd Miniatures
Munchkin Zombies  Guest Artist Edition,2011,3,6,6.235,Steve Jackson (I),Black Monk
Alibi,1993,3,10,5.442,Darwin Bromley,Mayfair Games
Spirits of the Forest,2018,1,4,7.004,Michael Schacht,ThunderGryph Games
Princess Jing,2018,2,2,6.496,Roberto Fraga,Board Game Box
Mr. Game!,2015,2,8,4.642,Frank DiCola,Game Revenant LTD
Sarkophag,2015,3,6,6.133,Michael Feldk\\u00f6tter,AMIGO
Medina de Rioseco 1808,2008,1,2,7.83,Fr\\u00e9d\\u00e9ric Bey,Vae Victis
Jeu du Nain Jaune,1600,3,8,5.237,(Uncredited),(Public Domain)
Judge Dredd  Block War,2018,2,2,7.025,Herb Ferman,Game and a Curry
The Demise of Dr. Frankenstein,2010,2,4,6.213,Mark Hanny,(Web published)
Times to Remember,1992,2,10,6.329,Richard Borg,Blackrock Games
WorldKiller,1980,2,2,5.419,Redmond A. Simonsen,SPI (Simulations Publications
